Nr,In gebruik,Vraag NL,Antwoord,Bron,Uitkomst,Bewijszin
683,—,Hoeveel tanden heeft een volwassen witte haai in één functionele tandrij?,24,https://www.floridamuseum.ufl.edu/discover-fish/sharks/great-white-shark/,onbereikbaar,HTTP 404
685,—,Hoeveel tentakels heeft een octopus?,8,https://ocean.si.edu/ocean-life/invertebrates/octopus,onbereikbaar,HTTP 403
692,—,Hoeveel bedrijven bevat de S&P 500-index?,500,https://www.spglobal.com/spdji/en/indices/equity/sp-500/,onbereikbaar,HTTP 403
694,—,Hoeveel bedrijven vormen de Nasdaq-100-index?,100,https://www.nasdaq.com/solutions/nasdaq-100,onbereikbaar,The read operation timed out
696,—,Hoeveel cent zit er in één euro?,100,https://www.ecb.europa.eu/euro/coins/html/index.en.html,niet gevonden,
701,—,Hoeveel verschillende coupures heeft de eurobankbiljettenreeks?,7,https://www.ecb.europa.eu/euro/banknotes/current/denominations/html/index.en.html,niet gevonden,
702,—,Hoeveel verschillende euromunten zijn er?,8,https://www.ecb.europa.eu/euro/coins/html/index.en.html,niet gevonden,
703,—,Hoeveel McDonald’s-restaurants waren er wereldwijd aan het einde van 2023?,41198,https://corporate.mcdonalds.com/corpmcd/our-company/annual-reports.html,onbereikbaar,The read operation timed out
708,—,Hoeveel gram weegt een standaard chocoladereep vaak?,100,No universal standard; depends on product and market.,geen url,No universal standard; depends on product and market.
709,—,Hoeveel kilocalorieën bevat een Amerikaanse McDonald’s cheeseburger?,300,https://www.mcdonalds.com/us/en-us/product/cheeseburger.html,onbereikbaar,The read operation timed out
727,—,In hoeveel landen had McDonald’s restaurants in 2023?,100,https://corporate.mcdonalds.com/corpmcd/our-company/annual-reports.html,onbereikbaar,The read operation timed out
762,—,Hoeveel jaar zwierf Odysseus rond voordat hij terugkeerde naar Ithaka?,10,https://www.alpconv.org/en/home/,getal gezien,&copy; 02.02.2026 Alpine Convention joins celebrations for the 30th Danilo Re Memorial 16.01.2026 Mayor of Innsbruck visits seat of the Alpine Convention &copy; 14.01.2026 Inspiring Alpine Convention projects &copy; 12.01.2026 Alpine perspectives at UNEA-7 12.12.2025 A fruitful exchange in Bolzano/Bozen 10.12.2025 Elev
773,—,Hoeveel ingangen heeft het Colosseum?,80,https://www.britannica.com/topic/Colosseum,onbereikbaar,HTTP 403
774,—,Hoeveel jaar duurde de bouw van de Dom van Keulen?,632,https://www.koelner-dom.de/en/discover/history,onbereikbaar,HTTP 404
776,—,Hoeveel jaar duurde de bouw van het Colosseum?,8,https://www.britannica.com/topic/Colosseum,onbereikbaar,HTTP 403
783,—,Hoeveel kilometer staaldraad zit er in één hoofdkabel van de Golden Gate Bridge?,128000,https://whc.unesco.org/en/list/1187/,onbereikbaar,HTTP 403
785,—,Hoeveel meter diep ligt de fundering van de Burj Khalifa ongeveer?,50,https://www.burjkhalifa.ae/en/the-tower/facts-figures/,onbereikbaar,HTTP 403
793,—,Hoeveel meter hoog is de Petronas Twin Tower?,452,https://www.petronastwintowers.com.my/about-us/,onbereikbaar,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl
803,—,Hoeveel meter lang is de langste overspanning van de Akashi Kaikyōbrug?,1991,https://www.jb-honshi.co.jp/english/,niet gevonden,
806,—,Hoeveel piramides staan er ongeveer in Gizeh?,3,https://www.britannica.com/place/Pyramids-of-Giza,onbereikbaar,HTTP 403
816,—,Hoeveel tegels bedekken het dak van het Sydney Opera House?,1000000,https://whc.unesco.org/en/list/1613/,onbereikbaar,HTTP 403
817,—,Hoeveel ton staal werd gebruikt voor de Eiffeltoren?,7300,https://www.toureiffel.paris/en/the-monument/key-figures,niet gevonden,
818,—,Hoeveel ton weegt de Eiffeltoren in totaal?,10100,https://mathworld.wolfram.com/PolygonDiagonal.html,niet gevonden,
820,—,Hoeveel traptreden telt de Eiffeltoren naar de top?,1665,https://www.toureiffel.paris/en/the-monument/key-figures,niet gevonden,
831,—,Uit hoeveel landen bestaat de UNESCO-site Het architectonische werk van Le Corbusier?,7,UNESCO World Heritage Centre — Architectural Work of Le Corbusier,geen url,UNESCO World Heritage Centre — Architectural Work of Le Corbusier
833,—,Door hoeveel landen stroomt de Donau?,10,https://www.icpdr.org/,niet gevonden,
845,—,Hoeveel eilanden vormen Indonesië volgens de officiële telling?,17508,https://www.big.go.id/en,niet gevonden,
852,—,Hoeveel kilometer lang is de Andes ongeveer?,7000,https://www.britannica.com/place/Andes-Mountains,onbereikbaar,HTTP 403
858,—,Hoeveel kilometer lang is de Grote Muur van China ongeveer?,21196,https://whc.unesco.org/en/list/438/,onbereikbaar,HTTP 403
867,—,Hoeveel kilometer lang is de evenaar ongeveer?,40075,https://education.nationalgeographic.org/resource/equator/,getal gezien,"The distance around Earth at the Equator, its circumference , is 40,075 kilometers (24,901 miles)."
868,—,Hoeveel kilometer lang is de kustlijn van Canada ongeveer?,202080,https://natural-resources.canada.ca/earth-sciences/geography,onbereikbaar,HTTP 404
869,—,Hoeveel kilometer lang is de kustlijn van de Middellandse Zee ongeveer?,46000,https://www.britannica.com/place/Mediterranean-Sea,onbereikbaar,HTTP 403
870,—,Hoeveel kilometer lang is het Tanganyikameer ongeveer?,660,https://www.britannica.com/place/Lake-Tanganyika,onbereikbaar,HTTP 403
899,—,Hoeveel landen grenzen aan Oostenrijk?,8,https://www.austria.info/en/service-and-facts/about-austria,niet gevonden,
912,—,Hoeveel landen grenzen aan de Middellandse Zee?,22,https://www.britannica.com/place/Mediterranean-Sea,onbereikbaar,HTTP 403
913,—,Hoeveel landen grenzen aan het Tanganyikameer?,4,https://www.britannica.com/place/Lake-Tanganyika,onbereikbaar,HTTP 403
914,—,Hoeveel landen grenzen direct aan de Noordzee?,8,https://www.britannica.com/place/North-Sea,onbereikbaar,HTTP 403
915,—,Hoeveel landen grenzen direct aan de Zwarte Zee?,6,https://www.britannica.com/place/Black-Sea,onbereikbaar,HTTP 403
916,—,Hoeveel landen hebben grondgebied in het Amazonebekken?,8,https://www.britannica.com/place/Amazon-River,onbereikbaar,HTTP 403
926,—,Hoeveel landen worden tot het Arabisch Schiereiland gerekend?,7,https://www.britannica.com/place/Arabian-Peninsula,onbereikbaar,HTTP 403
927,—,Hoeveel landen worden verbonden door de UNESCO-site van de Struve-geodetische boog?,10,UNESCO World Heritage Centre — Struve Geodetic Arc,geen url,UNESCO World Heritage Centre — Struve Geodetic Arc
960,—,Hoeveel procent van het Amazonebekken ligt ongeveer in Brazilië?,60,https://www.britannica.com/place/Amazon-River,onbereikbaar,HTTP 403
977,—,Hoeveel vierkante kilometer is Groenland ongeveer groot?,2166000,https://www.britannica.com/place/Greenland,onbereikbaar,HTTP 403
978,—,Hoeveel vierkante kilometer is de oppervlakte van het Baikalmeer ongeveer?,31700,https://www.britannica.com/place/Lake-Baikal,onbereikbaar,HTTP 403
979,—,Hoeveel vierkante kilometer is het Victoriameer ongeveer?,69500,https://www.britannica.com/place/Lake-Victoria,onbereikbaar,HTTP 403
980,—,Wat is de gemiddelde diepte van alle wereldzeeën en oceanen in meters?,3688,https://oceanservice.noaa.gov/facts/oceandepth.html,niet gevonden,
981,—,Wat is de hoogte van de Mont Blanc in de Alpen in meters?,4808,https://www.britannica.com/place/Mont-Blanc,onbereikbaar,HTTP 403
982,—,Wat is de lengte van de rivier de Nijl in kilometers?,6650,https://www.britannica.com/place/Nile-River,onbereikbaar,HTTP 403
984,—,Hoeveel duizend vierkante kilometer groot is Australië?,7692,https://www.ga.gov.au/education/facts/dimensions,onbereikbaar,HTTP 404
985,—,Wat is het grootste binnenlandse waterlichaam ter wereld naar oppervlakte?,371000,https://www.britannica.com/place/Caspian-Sea,onbereikbaar,HTTP 403
986,—,Hoeveel Amerikaanse militairen kwamen tijdens de Tweede Wereldoorlog om het leven?,405000,https://www.nationalww2museum.org/war/articles/american-casualties,onbereikbaar,HTTP 404
996,—,Hoeveel jaar duurde de Amerikaanse Burgeroorlog?,4,https://www.nps.gov/gett/learn/historyculture/civil-war-overview.htm,onbereikbaar,HTTP 404
997,—,Hoeveel jaar duurde de Amerikaanse Onafhankelijkheidsoorlog?,8,https://www.archives.gov/founding-docs/declaration,niet gevonden,
1006,—,Hoeveel kilometer lang was de historische Zijderoute ongeveer?,7000,https://en.unesco.org/silkroad/about-silk-roads,niet gevonden,
1009,—,Hoeveel mensen bezochten de Wereldtentoonstelling van 1889 in Parijs?,32000000,https://www.britannica.com/event/Paris-Exposition-of-1889,onbereikbaar,HTTP 403
1010,—,Hoeveel mensen bezochten de Wereldtentoonstelling van 1893 in Chicago?,27500000,https://www.britannica.com/event/Worlds-Columbian-Exposition,onbereikbaar,HTTP 403
1011,—,Hoeveel mensen dienden in totaal in het Amerikaanse leger tijdens de Tweede Wereldoorlog?,16000000,https://www.nationalww2museum.org/war/articles/american-military-personnel,onbereikbaar,HTTP 404
1016,—,Hoeveel schepen had de Atheense vloot tijdens de Slag bij Salamis ongeveer?,370,https://www.britannica.com/event/Battle-of-Salamis,onbereikbaar,HTTP 403
1019,—,Hoeveel soldaten namen deel aan de landing in Normandië op D-Day?,156000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,onbereikbaar,HTTP 403
1020,—,Hoeveel soldaten telde het Britse leger bij de Slag bij Waterloo ongeveer?,68000,https://www.britannica.com/event/Battle-of-Waterloo,onbereikbaar,HTTP 403
1022,—,Hoeveel ton bommen werd tijdens de Blitz op Londen afgeworpen?,18000,https://www.iwm.org.uk/history/the-blitz,onbereikbaar,HTTP 403
1023,—,Hoeveel uren zitten er in een standaard kalenderjaar?,8760,https://www.berlin.de/mauer/en/history/berlin-wall-fall/,niet gevonden,
1025,—,Hoeveel vliegtuigen ondersteunden D-Day?,11000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,onbereikbaar,HTTP 403
1061,—,Hoeveel graden heeft een rechte hoek?,90,https://www.britannica.com/art/Western-architecture/Greek,onbereikbaar,HTTP 403
1071,—,Uit hoeveel landen bestaat de UNESCO-site The Great Spa Towns of Europe?,7,UNESCO World Heritage Centre — Great Spa Towns of Europe,geen url,UNESCO World Heritage Centre — Great Spa Towns of Europe
1072,—,Voor hoeveel dollar werd Leonardo’s Salvator Mundi op een veiling verkocht?,450312500,Christie’s — Salvator Mundi,geen url,Christie’s — Salvator Mundi
1073,—,Hoeveel bijen leven er in een sterk bijenvolk in de zomer?,50000,https://www.gov.uk/guidance/beekeeping-and-honey-bees,onbereikbaar,HTTP 404
1074,—,Hoeveel dagen duurt de zwangerschap van een geit?,150,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-goats,niet gevonden,
1075,—,Hoeveel dagen duurt de zwangerschap van een varken?,114,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-pigs,niet gevonden,
1076,—,Hoeveel kilogram staal zit er ongeveer in een gemiddelde auto?,900,https://www.steel.org/automotive,niet gevonden,
1077,—,Hoeveel procent van de wereldwijde landbouwgrond wordt geïrrigeerd?,20,https://www.fao.org/aquastat/en/overview/methodology/water-use,getal gezien,"The chart below shows the water withdrawal ratios by continent, where the agricultural part varies from more than 80 percent in Africa and Asia to just over 20 percent in Europe."
1078,—,Hoeveel ton aardappelen werd wereldwijd geproduceerd in 2023?,383000000,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
1079,—,Hoeveel ton aluminium wordt wereldwijd jaarlijks geproduceerd?,70000000,https://www.usgs.gov/centers/national-minerals-information-center/aluminum-statistics-and-information,niet gevonden,
1080,—,Hoeveel ton cement wordt wereldwijd jaarlijks geproduceerd?,4000000000,https://www.usgs.gov/centers/national-minerals-information-center/cement-statistics-and-information,niet gevonden,
1081,—,Hoeveel ton plastic wordt wereldwijd jaarlijks geproduceerd?,400000000,https://www.unep.org/interactives/beat-plastic-pollution/,niet gevonden,
1082,—,Hoeveel ton rijst werd wereldwijd geproduceerd in 2023?,530000000,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
1083,—,Hoeveel ton staal werd wereldwijd geproduceerd in 2023?,1900000000,https://worldsteel.org/steel-topics/statistics/annual-crude-steel-production/,niet gevonden,
1084,—,Hoeveel ton tarwe werd wereldwijd geproduceerd in 2023?,785000000,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
1086,—,Welk percentage van het wereldwijde staal wordt geproduceerd in China?,54,https://worldsteel.org/steel-topics/statistics/annual-crude-steel-production/,niet gevonden,
1087,—,Hoeveel KFC-restaurants zijn er wereldwijd ongeveer?,30000,https://investors.yum.com/financial-information/annual-reports,onbereikbaar,HTTP 403
1088,—,Hoeveel winkels heeft Aldi wereldwijd ongeveer?,12500,https://www.aldi.com/about-aldi/,onbereikbaar,HTTP 404
1089,—,Hoeveel winkels heeft Lidl wereldwijd ongeveer?,12500,https://info.lidl/en/about-lidl,onbereikbaar,HTTP 404
1090,—,Hoeveel delen CO₂ per miljoen delen lucht meet NASA nu?,425,https://climate.nasa.gov/vital-signs/carbon-dioxide/,niet gevonden,
1091,—,Hoeveel delen CO₂ per miljoen delen lucht zat er rond het pre-industriële referentiejaar in de atmosfeer?,280,https://climate.nasa.gov/vital-signs/carbon-dioxide/,niet gevonden,
1094,—,Hoeveel procent van de landbouwgrond wordt gebruikt voor voedsel dat uiteindelijk niet wordt opgegeten?,30,https://www.fao.org/food-loss-reduction/en/,niet gevonden,
1095,—,Hoeveel procent van de oorspronkelijke bossen in de wereld is nog over?,36,https://www.fao.org/interactive/forest-resources-assessment/2020/en/,niet gevonden,
1096,—,Hoeveel procent van de wetlands is sinds 1700 wereldwijd verdwenen?,85,https://www.unep.org/resources/report/global-wetland-outlook,onbereikbaar,HTTP 404
1097,—,Hoeveel soorten worden volgens de gangbare schatting met uitsterven bedreigd?,1000000,https://www.iucnredlist.org/resources/summary-statistics,onbereikbaar,HTTP 403
1098,—,Hoeveel ton plastic afval produceert de mensheid jaarlijks volgens UNEP ongeveer?,400000000,https://www.unep.org/interactives/beat-plastic-pollution/,niet gevonden,
1099,—,Welk percentage van het mariene afval bestaat volgens UNEP minstens uit plastic?,85,https://www.unep.org/interactives/beat-plastic-pollution/,niet gevonden,
1100,—,Welk percentage van plastic afval wordt wereldwijd gestort?,46,https://www.oecd.org/environment/plastics/,onbereikbaar,HTTP 403
1111,—,Hoeveel lijnen heeft een notenbalk?,5,https://www.britannica.com/art/staff-music,onbereikbaar,HTTP 403
1126,—,Hoeveel snaren heeft een standaard basgitaar?,4,https://www.fender.com/articles/tech-talk/bass-guitar-strings,onbereikbaar,HTTP 403
1135,—,Hoeveel graden Celsius kan een bliksemschicht bereiken?,30000,https://whc.unesco.org/en/list/1314/,onbereikbaar,HTTP 403
1141,—,Wat is de snelheid van het geluid in droge lucht bij 20°C in km/u?,1235,https://www.engineeringtoolbox.com/speed-sound-d_153.html,onbereikbaar,HTTP 404
1142,—,Wat is de snelheid van het licht in vacuüm ongeveer?,300000,https://physics.nist.gov/cgi-bin/cuu/Value?c,niet gevonden,
1193,—,Hoeveel kilometer lang is de kust van de Nederlandse Waddeneilanden ongeveer?,300,https://www.waddenzee.nl/english/,onbereikbaar,HTTP 404
1218,—,Hoeveel meter onder zeeniveau ligt het diepste punt van Nederland?,7,https://www.rijkswaterstaat.nl/english,onbereikbaar,HTTP 404
1227,—,Hoeveel procent van Nederland ligt onder zeeniveau?,26,https://www.government.nl/topics/water-management/room-for-the-river,onbereikbaar,HTTP 404
1248,—,Hoeveel zuilen heeft het Rijksmuseum aan de voorgevel?,8,https://www.rijksmuseum.nl/en/visitor-information/building,onbereikbaar,HTTP 404
1267,—,Hoeveel landen ondertekenden oorspronkelijk het Handvest van de Verenigde Naties?,50,https://www.un.org/en/about-us/history-of-the-un,getal gezien,"Representatives of 50 countries gathered at the United Nations Conference on International Organization in San Francisco, California from 25 April to 26 June 1945."
1316,—,Hoeveel hotels heeft Hilton wereldwijd ongeveer?,7500,https://stories.hilton.com/annual-report,onbereikbaar,HTTP 404
1317,—,"Hoeveel miljoen passagiers verwerkt Atlanta Airport (Hartsfield-Jackson, de drukste luchthaven ter wereld) per jaar?",104,https://www.atl.com/about-atl/statistics/,onbereikbaar,HTTP 403
1318,—,Hoeveel atomen bevat één molecuul methaan?,5,https://pubchem.ncbi.nlm.nih.gov/compound/Methane,niet gevonden,
1319,—,Hoeveel belangrijkste producten ontstaan bij de reactie tussen azijn en baking soda?,3,https://www.acs.org/education/whatischemistry/landmarks/acid-base.html,niet gevonden,
1320,—,"Hoeveel elektronen heeft een chloride-ion, Cl⁻?",18,https://openstax.org/books/chemistry-2e/pages/2-3-atomic-structure-and-symbolism,bevestigd,Solution average mass = ( 0.9184 × 19.9924 amu ) + ( 0.0047 × 20.9940 amu ) + ( 0.0769 × 21.9914 amu ) = ( 18.36 + 0.099 + 1.69 ) amu = 20.15 amu average mass = ( 0.9184 × 19.9924 amu ) + ( 0.0047 × 20.9940 amu ) + ( 0.0769 × 21.9914 amu ) = ( 18.36 + 0.099 + 1.69 ) amu = 20.15 amu The average mass of a neon atom in th
1321,—,Hoeveel elektronen kan de derde elektronenschil maximaal bevatten?,18,https://openstax.org/books/chemistry-2e/pages/6-4-electronic-structure-of-atoms,onbereikbaar,HTTP 404
1322,—,Hoeveel elektronenparen deelt een stikstofatoom in het molecuul N₂?,3,https://openstax.org/books/chemistry-2e/pages/7-2-covalent-bonding,bevestigd,"For example, the H and F atoms in HF have an electronegativity difference of 1.9, and the N and H atoms in NH 3 a difference of 0.9, yet both of these compounds form bonds that are considered polar covalent."
1325,—,Hoeveel keer zuurder is een oplossing met pH 3 dan een oplossing met pH 5?,100,https://www.usgs.gov/special-topics/water-science-school/science/ph-and-water,niet gevonden,
1326,—,Hoeveel neutronen heeft koolstof-14?,8,https://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl,niet gevonden,
1331,—,Hoeveel gekleurde vierkantjes telt een standaard Rubik's kubus aan de buitenkant?,54,https://www.rubiks.com/en-us/3x3,onbereikbaar,HTTP 404
1335,—,Hoeveel kleuren heeft een standaard Rubiks kubus?,6,https://www.catan.com/understand-catan/game-rules,niet gevonden,
1336,—,Hoeveel miljard LEGO-steentjes zijn er sinds 1958 wereldwijd in totaal geproduceerd?,600,https://whc.unesco.org/en/list/1631/,onbereikbaar,HTTP 403
1337,—,Hoeveel pionnen heeft iedere speler bij de start van schaken?,8,https://shop.hasbro.com/en-us/product/jenga-game/6D3B9C7E-5056-9047-F5D5-7B7B8C4A7B4B,niet gevonden,
1338,—,Hoeveel speelvelden heeft een standaard schaakbord?,64,https://handbook.fide.com/chapter/E012023,bevestigd,Article 2: The Initial Position of the Pieces on the Chessboard 2.1 The chessboard is composed of an 8 x 8 grid of 64 equal squares alternately light (the ‘white’ squares) and dark (the ‘black’ squares).
1349,—,Hoeveel holes heeft een standaard golfbaan?,18,https://www.randa.org/en/rog/the-rules-of-golf,bevestigd,"Read more 18 Stroke-and-Distance Relief, Ball Lost or Out of Bounds, Provisional Ball Purpose of Rule: Rule 18 covers taking relief under penalty of stroke and distance."
1350,—,Hoeveel holes heeft een standaard minigolfronde meestal?,18,https://www.wmfsport.com/,onbereikbaar,<urlopen error [Errno 11001] getaddrinfo failed>
1351,—,Hoeveel holes telt een standaard ronde op een professionele golfbaan?,18,https://www.randa.org/en/rog/the-rules-of-golf,bevestigd,"Read more 18 Stroke-and-Distance Relief, Ball Lost or Out of Bounds, Provisional Ball Purpose of Rule: Rule 18 covers taking relief under penalty of stroke and distance."
1378,—,Hoeveel meter breed mag een internationaal voetbalveld maximaal zijn?,90,https://www.theifab.com/laws/latest/the-field-of-play/,getal gezien,Length (touchline): minimum 90 m (100 yds) maximum 120 m (130 yds) Length (goal line): minimum 45 m (50 yds) maximum 90 m (100 yds) Competitions may determine the length of the goal line and touchline within the above dimensions.
1382,—,Hoeveel meter lang mag een internationaal voetbalveld maximaal zijn?,120,https://www.theifab.com/laws/latest/the-field-of-play/,getal gezien,Length (touchline): minimum 90 m (100 yds) maximum 120 m (130 yds) Length (goal line): minimum 45 m (50 yds) maximum 90 m (100 yds) Competitions may determine the length of the goal line and touchline within the above dimensions.
1387,—,Hoeveel minuten officiële speeltijd heeft een Americanfootballwedstrijd in de NFL?,60,https://operations.nfl.com/the-rules/nfl-rulebook/,bevestigd,"The location of the inbounds hash marks is 70’ 9” for professional football, 60’ for college football, measured to the inbound edge of the hash."
1390,—,Hoeveel minuten officiële speeltijd heeft een rugbyunionwedstrijd?,80,https://www.world.rugby/the-game/laws/law/5,niet gevonden,
1391,—,Hoeveel periodes heeft een ijshockeywedstrijd?,3,https://www.iihf.com/en/static/5459/rules,onbereikbaar,HTTP 403
1401,—,Hoeveel speelminuten duurt een officiële voetbalwedstrijd zonder verlenging?,90,https://www.theifab.com/laws/latest/the-duration-of-the-match/,niet gevonden,
1406,—,Hoeveel spelers staan er op het ijs bij ijshockey (beide teams inclusief keepers)?,12,https://www.usahockeyrulebook.com/,niet gevonden,
1407,—,Hoeveel spelers staan er per basketbalteam tegelijk op het veld?,5,https://www.fiba.basketball/official-basketball-rules,niet gevonden,
1409,—,Hoeveel spelers staan er per team op het veld bij volleybal?,6,https://www.fivb.com/inside-fivb/document-centre/official-volleyball-rules,onbereikbaar,HTTP 403
1410,—,Hoeveel spelers staan er tegelijk op het veld bij voetbal?,22,https://www.theifab.com/laws/latest/the-players/,niet gevonden,
1415,—,Hoeveel veldspelers (inclusief keeper) staan er in het water bij waterpolo per team?,7,https://www.worldaquatics.com/rules,niet gevonden,
1416,—,Wat is de exacte afstand van een marathonwedstrijd in meters?,42195,https://worldathletics.org/about-iaaf/documents/book-of-rules,niet gevonden,
1418,—,Wat is een perfecte score bij tienpinsbowling?,300,https://bowl.com/rules,niet gevonden,
1422,—,Hoeveel astronauten kunnen tijdens een normale missie ongeveer tegelijk in het ISS verblijven?,7,https://www.nasa.gov/mission_pages/station/main/index.html,niet gevonden,
1423,—,Hoeveel bekende manen heeft Jupiter volgens de gebruikte telling?,95,https://science.nasa.gov/jupiter/jupiter-moons/,niet gevonden,
1425,—,Hoeveel erkende planeten telt ons zonnestelsel?,8,https://science.nasa.gov/solar-system/planets/,bevestigd,8 Planets 5 Dwarf Planets Introduction What is a planet?
1426,—,Hoeveel kilometer is de diameter van Jupiter ongeveer?,139820,https://science.nasa.gov/jupiter/facts/,niet gevonden,
1428,—,Hoeveel kilometer is de diameter van de zon ongeveer?,1392700,https://science.nasa.gov/sun/facts/,niet gevonden,
1429,—,Hoeveel kilometer is de gemiddelde afstand van Jupiter tot de zon?,778000000,https://science.nasa.gov/jupiter/facts/,niet gevonden,
1432,—,Hoeveel miljard sterren telt ons Melkwegstelsel naar schatting?,100,https://science.nasa.gov/universe/galaxies/milky-way/,onbereikbaar,HTTP 404
1437,—,In welk jaar werd de eerste ruimtestationmodule gelanceerd?,1971,https://www.nasa.gov/mission/skylab/,niet gevonden,
1438,—,In welk jaar zette de eerste mens voet op de maan?,1969,https://www.nasa.gov/mission/apollo-11/,getal gezien,"Mission Type Lunar Landing astronauts Neil Armstrong, Buzz Aldrin, Michael Collins Launch July 16, 1969 SPLASHDOWN July 24, 1969 Astronaut Buzz Aldrin stands on the Moon facing a U.S."
1439,—,Wat is de baansnelheid van het ISS ongeveer?,27600,https://www.nasa.gov/mission_pages/station/main/index.html,niet gevonden,
1440,—,Wat is de baansnelheid van het ISS ruimtestation in kilometer per uur?,27600,https://www.nasa.gov/mission_pages/station/main/index.html,niet gevonden,
1442,—,Wat is de diameter van de Maan in kilometers?,3474,https://science.nasa.gov/moon/facts/,niet gevonden,
1445,—,Wat is de geschatte temperatuur aan het oppervlak van de zon?,5500,https://science.nasa.gov/sun/facts/,bevestigd,"The part of the Sun we call its surface – the photosphere – is a relatively cool 10,000 °F (5,500 °C)."
1446,—,Hoeveel basisjamo-tekens heeft het moderne Koreaanse Hangul-alfabet?,24,https://www.britannica.com/topic/Hangul,onbereikbaar,HTTP 403
1449,—,Hoeveel naamvallen heeft het Duits?,4,https://www.britannica.com/topic/German-language,onbereikbaar,HTTP 403
1450,—,Hoeveel naamvallen heeft het Latijn volgens de traditionele grammaticale indeling?,6,https://www.britannica.com/topic/Latin-language,onbereikbaar,HTTP 403
1452,—,Hoeveel tonen heeft het Vietnamese taalsysteem volgens de meest gebruikte indeling?,6,https://www.britannica.com/topic/Vietnamese-language,onbereikbaar,HTTP 403
1456,—,Hoeveel kleuren subpixels heeft iedere pixel op een standaard RGB-scherm?,3,https://www.nist.gov/pml/color,onbereikbaar,HTTP 404
1457,—,Hoeveel megabytes zitten er in precies één gigabyte?,1024,https://physics.nist.gov/cuu/Units/binary.html,bevestigd,"Historical context * Once upon a time, computer professionals noticed that 2 10 was very nearly equal to 1000 and started using the SI prefix ""kilo"" to mean 1024."
1458,—,Hoeveel megabytes zitten er volgens de binaire definitie in één gigabyte?,1024,https://physics.nist.gov/cuu/Units/binary.html,bevestigd,"Historical context * Once upon a time, computer professionals noticed that 2 10 was very nearly equal to 1000 and started using the SI prefix ""kilo"" to mean 1024."
1459,—,Hoeveel pixels heeft een 4K UHD-scherm ongeveer?,8300000,https://www.cta.tech/Resources/Standards/4K-Ultra-High-Definition,onbereikbaar,HTTP 404
1473,—,In welk jaar werd de eerste commerciële mobiele telefoon uitgebracht?,1983,https://www.motorolasolutions.com/en_us/about/company-overview/history-experience.html,onbereikbaar,HTTP 404
1475,—,In welk jaar werd de eerste computer-muis ontworpen?,1964,https://www.computerhistory.org/revolution/input-output/14/350,niet gevonden,
1477,—,In welk jaar werd de eerste floppy disk geïntroduceerd?,1971,https://www.ibm.com/history/floppy-disk,getal gezien,IBM began selling floppy disk drives in 1971 and received US patents for the drive and floppy disk in 1972.
1478,—,In welk jaar werd de eerste laptop uitgebracht?,1981,https://computerhistory.org/blog/the-osborne-1/,onbereikbaar,HTTP 404
1479,—,In welk jaar werd de eerste website online gezet?,1991,https://home.cern/science/computing/birth-web,onbereikbaar,HTTP 404
1481,—,Hoeveel duizend beeldpunten telt een Full HD-scherm?,2074,https://www.itu.int/rec/R-REC-BT.709,niet gevonden,
1482,—,Door hoeveel landen lopen de Alpen volgens de Alpine Convention?,8,Alpine Convention — Who we are,geen url,Alpine Convention — Who we are
1492,—,Hoeveel standaard 20-voet zeecontainers (TEU) kan het grootste containerschip ter wereld in één keer vervoeren?,24000,Port authority/company figures vary by ship and date.,geen url,Port authority/company figures vary by ship and date.
1494,—,Hoeveel verkeerslichten zijn er ongeveer in New York City?,13500,https://www.nyc.gov/html/dot/html/infrastructure/traffic-signals.shtml,onbereikbaar,HTTP 403
1495,—,Hoeveel wielen heeft een locomotief met drie standaard draaistellen van twee assen?,12,https://www.railway-technical.com/rolling-stock/bogies.html,onbereikbaar,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-
1496,—,Hoeveel wielen heeft een standaard auto?,4,https://www.nhtsa.gov/vehicle-safety,onbereikbaar,HTTP 403
1497,—,Hoeveel wielen heeft een standaard dubbeldekkerbus meestal?,6,https://tfl.gov.uk/modes/buses/,niet gevonden,
1498,—,Hoeveel wielen heeft een standaard stadsbus meestal?,6,https://tfl.gov.uk/modes/buses/,niet gevonden,
1499,—,Hoeveel wielen heeft een tram meestal in een vierassige configuratie?,8,https://www.britannica.com/technology/streetcar,onbereikbaar,HTTP 403
1500,—,In welk jaar maakte het eerste gemotoriseerde vliegtuig een succesvolle vlucht?,1903,https://www.nasa.gov/history/first-flight/,onbereikbaar,HTTP 404
1502,—,In welk jaar reed de eerste hogesnelheidstrein in commerciële dienst?,1964,https://www.jreast.co.jp/e/press/2003/20030501.pdf,onbereikbaar,HTTP 403
