Nr,Uitkomst,In gebruik,Vraag NL,Antwoord,Bron,Artikel,Bewijs
1402,geen bron,—,Hoeveel spelers heeft een basketbalteam op het veld per ploeg?,5,,,
1404,geen bron,—,Hoeveel spelers heeft een hockeyteam op het veld per ploeg?,11,,,
1405,geen bron,—,Hoeveel spelers heeft een rugbyteam per ploeg op het veld (union)?,15,,,
1411,geen bron,—,Hoeveel spelers staat er per ploeg op het veld bij een rugby league-wedstrijd?,13,,,
1412,geen bron,—,Hoeveel spelers telt een volleybalteam op het veld?,6,,,
1413,geen bron,—,Hoeveel teams spelen er in de NBA?,30,,,
1414,geen bron,—,Hoeveel teams spelen er in de NFL?,32,,,
1432,geen bron,—,Hoeveel miljard sterren telt ons Melkwegstelsel naar schatting?,100,,,
1435,bevestigd,—,Hoeveel satellieten lanceerde India in één enkele raket als record (2017)?,104,https://nl.wikipedia.org/wiki/India,India,"De bevolking is vooral geconcentreerd in vruchtbare gebieden, bijvoorbeeld in de deelstaten Uttar Pradesh (200 miljoen), Maharashtra (112 miljoen), Bihar (104 miljoen) en West-Bengalen (91 miljoen)."
1454,geen bron,—,Hoeveel frames per seconde toont een standaard bioscoopfilm?,24,,,
1456,geen bron,—,Hoeveel kleuren subpixels heeft iedere pixel op een standaard RGB-scherm?,3,,,
1459,geen bron,—,Hoeveel pixels heeft een 4K UHD-scherm ongeveer?,8300000,,,
1472,natellen,—,In welk jaar werd de Toyota motorfiets eerste gebouwd - nee Toyota is auto (1885 Daimler - dit zit niet in Azië)?,0,https://nl.wikipedia.org/wiki/Toyota,Toyota,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1473,geen bron,—,In welk jaar werd de eerste commerciële mobiele telefoon uitgebracht?,1983,,,
1478,geen bron,—,In welk jaar werd de eerste laptop uitgebracht?,1981,,,
1479,geen bron,—,In welk jaar werd de eerste website online gezet?,1991,,,
1486,bevestigd,—,Hoeveel gategebieden heeft Atlanta Airport?,7,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,Hartsfield–Jackson Atlanta International Airport,"Hartsfield–Jackson covers 4,700 acres (7.3 sq mi; 19 km2) of land and has five parallel runways which are aligned in an east–west direction."
1488,geen bron,—,Hoeveel miljoen nieuwe personenauto’s worden er wereldwijd per jaar geproduceerd?,85,,,
1500,geen bron,—,In welk jaar maakte het eerste gemotoriseerde vliegtuig een succesvolle vlucht?,1903,,,
1506,geen bron,—,Hoeveel graden is elke binnenhoek van een regelmatige zeshoek?,120,,,
