vlag	nederlands	engels
	In welk jaar landde de eerste ruimtesonde op Mars?	What year did the first space probe land on Mars?
	In welk jaar landde Apollo 11 op de maan?	What year did Apollo 11 land on the moon?
	Hoeveel landen delen het eiland Timor?	How many countries share the island of Timor?
GEEN	Hoeveel meter hoog is de Taj Mahal?	
	Hoeveel boeken bevat het Nieuwe Testament bij de protestante telling?	How many books does the New Testament contain at the Protestant have?
	In welk jaar werd de eerste ruimtestationmodule gelanceerd?	In what year was the first space station module launched?
	Hoeveel meter hoog is de Domtoren in Utrecht?	How many meters high is the Dom Tower in Utrecht?
GEEN	Hoeveel meter diep is de Grand Canyon op het diepste punt?	
	In welk jaar zette de eerste mens voet op de maan?	In what year did the first man set foot on the moon?
	Wat is de diepte van het diepste zoetwatermeer ter wereld (Baikalmeer in Rusland) in meters?	What is the depth of the deepest freshwater lake in the world (Baikal Lake in Russia) in meters?
	In welk jaar bereikte Christoffel Columbus volgens de traditionele Europese geschiedschrijving Amerika?	In what year did Christopher Columbus reach America according to the traditional European historiography?
	Hoeveel dagen duurt de zwangerschap van een geit?	How many days does a goat's pregnancy take?
GEEN	Hoeveel ton cement wordt wereldwijd jaarlijks geproduceerd?	
GEEN	Hoeveel ton plastic afval produceert de mensheid jaarlijks volgens UNEP ongeveer?	
	Hoeveel avatars heeft Vishnu volgens de Hindoe traditie?	How many avatars does Vishnu have according to Hindu tradition?
	Hoeveel tanden heeft een volwassen mens normaal?	How many teeth does a grown man have normal?
	Hoeveel landen hadden de euro als officiële munt bij de introductie van contant eurogeld?	How many countries had the euro as their official currency when it was introduced?
NL?	Hoeveel verdiepingen heeft De Rotterdam van architect Rem Koolhaas?	How many floors does De Rotterdam have by architect Rem Koolhaas?
	Hoeveel staten telt Mexico?	How many states does Mexico have?
	Hoeveel centrale Bijbelse scènes staan op het plafond van de Sixtijnse Kapel?	How many central biblical scenes are on the ceiling of the Sistine Chapel?
	Hoeveel keer werd de FIFA World Cup georganiseerd tot en met 2022?	How many times was the FIFA World Cup organized until 2022?
	Hoeveel meter kan een blauwe vinvis ongeveer lang worden?	How many meters can a blue whale grow about long?
	Hoeveel snaren heeft een standaard viool?	How many strings does a standard violin have?
	Hoeveel graden is elke binnenhoek van een regelmatige zeshoek?	How many degrees is each inner angle of a regular hexagon?
	Hoeveel verdiepingen heeft One World Trade Center?	How many floors does One World Trade Center have?
	Hoeveel zijden heeft een octagoon?	How many sides does an octagon have?
	Hoeveel koloniën kwamen in 1776 in opstand tegen Groot-Brittannië?	How many colonies rebelled against Britain in 1776?
	Hoeveel leden heeft de Nederlandse Tweede Kamer?	How many members has the Dutch Lower House?
GEEN	Hoeveel miljoen inwoners heeft Argentinië?	
	Hoeveel satellieten lanceerde India in één enkele raket als record (2017)?	How many satellites did India launch as record in a single rocket (2017)?
	Hoeveel spelers staan er tegelijk op het veld bij voetbal?	How many players are on the field at the same time at football?
	Hoeveel tanden heeft een volwassen huiskat?	How many teeth does a grown house cat have?
	Hoeveel duizend inwoners heeft Luxemburg?	How many thousand inhabitants does Luxembourg have?
	Hoeveel kilometer lang is het Tanganyikameer ongeveer?	How long is Lake Tanganyika about?
	Hoeveel decibel veroorzaakt een gemiddeld gesprek op normale toon?	How much decibel causes an average call in a normal tone?
	Hoeveel nationale talen heeft Zuid-Afrika volgens de grondwet?	How many national languages does South Africa have according to the constitution?
	Hoeveel landen grenzen aan China (vasteland excl. zee)?	How many countries bordering China (mainland excluding sea)?
	In welk jaar werd Microsoft opgericht?	What year was Microsoft founded?
GEEN	In welk jaar viel de Berlijnse Muur?	
	In welk jaar lanceerde Japan de Shinkansen hogesnelheidstrein?	In what year did Japan launch the Shinkansen high-speed train?
	Hoeveel leden heeft de G7?	How many members does the G7 have?
	In welk jaar werd de eerste kunstmatige satelliet gelanceerd?	What year was the first artificial satellite launched?
	In welk jaar werd de eerste computer met een microprocessor ontwikkeld?	In what year was the first computer developed with a microprocessor?
	Hoeveel landen grenzen aan Rusland (vasteland excl. overzeese)?	How many countries border on Russia (mainland excluding overseas)?
	In welk jaar werd Ghana als eerste Afrikaanse kolonie onafhankelijk?	In what year did Ghana become the first African colony to become independent?
	Hoeveel tramlijnen heeft Amsterdam?	How many tram lines does Amsterdam have?
	Hoeveel gram koolhydraten bevat een Amerikaanse McDonald’s cheeseburger?	How many grams of carbs does an American McDonald's cheeseburger contain?
	Hoeveel jaar duurde de apartheid in Zuid-Afrika (1948-1994)?	How many years did apartheid last in South Africa (1948-1994)?
GEEN	Hoeveel Afrikaanse landen produceren koffie?	
	Hoeveel officiële ringen heeft Uranus?	How many official rings does Uranus have?
	Uit hoeveel afzonderlijke onderdelen bestaat de UNESCO-site van Le Corbusier?	How many separate parts is the UNESCO site of Le Corbusier?
	Hoeveel landen telt Zuid-Amerika?	How many countries does South America have?
	Hoeveel departementen telt Peru?	How many departments does Peru have?
	Wat is een perfecte score bij tienpinsbowling?	What's a perfect score at tenpinsbowling?
	Hoeveel minuten officiële speeltijd heeft een basketbalwedstrijd volgens de NBA-regels?	How many minutes of official playing time does a basketball game have according to NBA rules?
	Hoeveel Algemeen Fonds-kaarten bevat een klassiek Monopoly-spel?	How many General Fund cards does a classic Monopoly game contain?
	Hoeveel miljard hartslagen maakt een mensenhart in een gemiddeld leven van 80 jaar?	How many billion heartbeats does a human heart make in an average life of 80 years?
NL?	Hoeveel schilderijen worden aan Vincent van Gogh toegeschreven volgens de telling van het Van Gogh Museum?	How many paintings are attributed to Vincent van Gogh according to the count of the Van Gogh Museum?
	Hoeveel bogen heeft de Romeinse brug Pont du Gard in de onderste booglaag?	How many arches has the Roman bridge Pont du Gard in the lower arch?
GEEN	Hoeveel miljoen kilometer is de gemiddelde afstand van de aarde tot de zon?	
	In welk jaar reed de eerste hogesnelheidstrein in commerciële dienst?	In what year was the first high-speed train in commercial service?
	Hoeveel paar chromosomen heeft een kat?	How many pairs of chromosomes does a cat have?
	In welk jaar werd Microsoft Word voor het eerst uitgebracht?	In what year was Microsoft Word first released?
	Hoeveel artikelen bevat de Franse Verklaring van de Rechten van de Mens en de Burger?	How many articles does the French Declaration of Human Rights and the Citizen contain?
GEEN	Hoeveel jaar regeerde Cleopatra VII?	
	Hoe oud werd de oudste kat ooit in jaren?	How old was the oldest cat ever in years?
	Hoeveel paar chromosomen heeft een hond?	How many pairs of chromosomes does a dog have?
	Hoeveel geboden bevat de traditionele christelijke indeling van de Tien Geboden?	How many commandments does the traditional Christian division of the Ten Commandments contain?
	Hoeveel landen nemen er deel aan de Schengenzone (2024)?	How many countries participate in the Schengen area (2024)?
GEEN	Hoeveel armen heeft een octopus?	
	Hoeveel minaretten heeft de Blauwe Moskee in Istanbul?	How many minarets does the Blue Mosque have in Istanbul?
	Hoeveel landen doen mee aan het FIFA World Cup 2026?	How many countries participate in the FIFA World Cup 2026?
	Hoeveel minuten duurt een NBA-basketbalwedstrijd officieel?	How many minutes is an official NBA basketball game?
	Hoeveel landen liggen op het Iberisch Schiereiland?	How many countries are on the Iberian Peninsula?
	Hoeveel stukken heeft iedere speler bij de start van schaken?	How many pieces does each player have at the start of chess?
	Hoeveel kilogram staal zit er ongeveer in een gemiddelde auto?	How many kilograms of steel is there in an average car?
	Hoeveel studioalbums bracht Queen uit?	How many studio albums did Queen release?
	Hoeveel kaarten bevat een klassiek Monopoly-spel in totaal aan eigendoms-, kans- en algemeenfondskaarten?	How many cards does a classic Monopoly game contain in total ownership, probability and general fund cards?
	Hoeveel snaren heeft een standaard gitaar?	How many strings does a standard guitar have?
	Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?	How many minutes of official playing time has an NBA game?
	Welk percentage van het wereldwijde staal wordt geproduceerd in China?	What percentage of global steel is produced in China?
GEEN	Hoeveel kilometer per uur sprint een jaguar?	
	Hoeveel electorale stemmen heeft Californië (2024)?	How many electoral votes has California (2024)?
	Hoeveel procent van Nederland ligt onder zeeniveau?	How much of the Netherlands is below sea level?
	Wat is de oppervlakte van de Sahara-woestijn in miljoen vierkante kilometer?	What is the surface of the Sahara Desert in million square kilometres?
	In hoeveel officiële James Bond-films speelde Sean Connery de hoofdrol?	How many official James Bond movies did Sean Connery play the lead role?
	Hoeveel diagonalen heeft een regelmatige twaalfhoek?	How many diagonals does a regular pentagon have?
	Hoeveel minuten duurt een volledige baan van het ISS rond de aarde ongeveer?	How many minutes does a full orbit of the ISS around Earth take?
GEEN	Hoeveel dagen duurt de Ramadan maximaal?	
	Hoeveel kleuren heeft de vlag van België?	How many colours does the flag of Belgium have?
	Hoeveel rechters telt het Internationaal Gerechtshof?	How many judges does the International Court of Justice have?
	Hoeveel boeken telt de Tenach in de joodse traditie?	How many books does the Tenach have in the Jewish tradition?
	Hoeveel afgevaardigden ondertekenden de Amerikaanse Grondwet?	How many delegates signed the American Constitution?
	Hoeveel meter hoog is de Christus Redentor standbeeld (met sokkel)?	How many meters high is the Christ Redendor statue (with pedestal)?
GEEN	Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland?	
GEEN	Hoeveel uur per dag slaapt een koala?	
	Hoeveel letters had het klassieke Latijnse alfabet?	How many letters did the classic Latin alphabet have?
	Hoeveel ijsreuzen telt ons zonnestelsel?	How many ice giants does our solar system have?
	Hoeveel zuilen had het oorspronkelijke Parthenon volgens de klassieke indeling?	How many columns did the original Parthenon have according to the classic layout?
	Hoeveel meter hoog is de Christus de Verlosser inclusief sokkel?	How many metres high is Christ the Savior including pedestal?
	Hoeveel individuele landen telt de G20?	How many individual countries does the G20 have?
	Hoeveel landen liggen aan het Titicacameer?	How many countries are on Lake Titicaca?
	Hoeveel oorspronkelijke koloniën vormden de Verenigde Staten?	How many original colonies were the United States?
	Hoeveel staten heeft Brazilië?	How many states does Brazil have?
GEEN	Hoeveel gram suiker zit er in een Amerikaans blikje Coca-Cola van 355 ml?	
GEEN	Hoeveel toneelstukken schreef Shakespeare volgens de gangbare telling?	
	Hoeveel torens heeft de Sagrada Família volgens het voltooide ontwerp?	How many towers does the Sagrada Família have according to the completed design?
	Hoeveel snaren heeft de klassieke Afrikaanse kora traditioneel?	How many strings has the classic African kora traditionally?
GEEN	Hoeveel landen zijn lid van het Pacific Islands Forum?	
	Hoeveel elektronen deelt een enkelvoudige covalente binding?	How many electrons does a single covalent bond share?
	Hoeveel procent van de oorspronkelijke bossen in de wereld is nog over?	How many percent of the original forests in the world are left?
	Hoeveel provincies heeft Indonesië (2024)?	How many provinces has Indonesia (2024)?
	Hoeveel elementen bevat keukenzout, natriumchloride?	How many elements does kitchen salt, sodium chloride contain?
	Hoeveel landen vormen de G20?	How many countries are the G20?
GEEN	Hoeveel duizend kilometer fietspad telt Nederland?	
	Hoeveel spelers staan er per voetbalteam op het veld?	How many players per football team are on the field?
	Hoeveel presidenten hebben de Verenigde Staten gehad tot en met Joe Biden?	How many presidents have the United States had until Joe Biden?
	Hoeveel metrolijnen heeft de New York City Subway?	How many subway lines does the New York City Subway have?
	Hoeveel poten heeft een krab?	How many legs does a crab have?
	Hoeveel graden heeft een volledige cirkel?	How many degrees does a full circle have?
	Welk percentage van het wereldwijde cement wordt geproduceerd in China?	What percentage of global cement is produced in China?
GEEN	Hoeveel symfonieën schreef Mozart?	
	Hoeveel komedies schreef Shakespeare volgens de traditionele genre-indeling?	How many comedies did Shakespeare write according to the traditional genre format?
	Hoeveel films regisseerde Christopher Nolan vóór Oppenheimer?	How many films did Christopher Nolan direct before Oppenheimer?
	Hoeveel jaar zaten er tussen het begin en het einde van de Punische oorlogen?	How many years were there between the start and the end of the Punic Wars?
	Hoeveel liter water gebruikt een gemiddeld huishouden per persoon per dag in Nederland?	How many litres of water does an average household per person per day use in the Netherlands?
	Hoeveel kilometer lang is de kustlijn van Japan ongeveer?	How many kilometres long is the coastline of Japan about?
	Hoeveel schepen werden ingezet bij de evacuatie van Duinkerke?	How many ships were deployed in the evacuation of Dunkirk?
	Hoeveel gram suiker zit er in een blikje Coca-Cola van 330 ml?	How many grams of sugar is there in a can of Coca-Cola of 330 ml?
	Hoeveel stenen beelden staan er in het Terracottaleger ongeveer?	How many stone statues are there in the Terracottaleger?
	Hoeveel uren aan videomateriaal wordt er wereldwijd elke minuut geüpload naar YouTube?	How many hours of video material is uploaded to YouTube every minute worldwide?
	Hoeveel vierkante kilometer is het Arctische zee-ijs in de zomer ongeveer minimaal?	How many square kilometres is the Arctic sea ice in the summer about minimal?
GEEN	In welk jaar werd Apple opgericht?	
	Hoeveel meter lang is de Brooklyn Bridge?	How many meters long is the Brooklyn Bridge?
	Hoeveel Pokémon telt de eerste generatie, de Kanto Pokédex?	How much Pokémon counts the first generation, the Kanto Pokédex?
	Hoeveel inwoners heeft Monaco?	How many inhabitants does Monaco have?
GEEN	Hoeveel vliegtuigen ondersteunden D-Day?	
	Hoeveel toeschouwers konden er tegelijk plaatsnemen in het Colosseum in het Oude Rome?	How many spectators could sit at the Colosseum in Old Rome at the same time?
GEEN	Hoeveel winkels heeft Lidl wereldwijd ongeveer?	
GEEN	Hoeveel kilometer van de Maas ligt in Nederland?	
	Hoeveel witte toetsen heeft een concertpiano?	How many white keys does a concert piano have?
GEEN	Hoeveel soorten worst kent de Duitse keuken ongeveer?	
GEEN	Hoeveel kilogram weegt een volwassen emoe?	
	Hoeveel verkeerslichten zijn er ongeveer in New York City?	How many traffic lights are there in New York City?
	In welk jaar begon de Koreaanse oorlog?	What year did the Korean war start?
	Hoeveel procent van de extra warmte door klimaatverandering wordt door de oceanen opgenomen?	How much of the extra heat from climate change is absorbed by the oceans?
	Hoeveel treden heeft het Empire State Building van straatniveau tot het observatiedek?	How many steps does the Empire State Building have from street level to observation deck?
	Hoeveel chromosomen heeft een gewone tuinerwt Pisum sativum in een lichaamscel?	How many chromosomes does a common pea have Pisum silica in a body cell?
	In welk jaar werd de eerste film publiek vertoond?	In what year was the first film audience shown?
	In welk jaar bereikte de eerste expeditie de Noordpool volgens de traditionele erkenning?	In what year did the first expedition reach the North Pole according to traditional recognition?
	In welk jaar voor Christus viel Carthago in handen van de Romeinen?	In which year BC did Carthage fall to the Romans?
	Hoeveel natuurlijke manen heeft Mars?	How many natural moons does Mars have?
	Hoeveel afleveringen telt de serie Game of Thrones?	How many episodes does the Game of Thrones series have?
	Hoeveel Muzen (dochters van Zeus) telt de Griekse mythologie?	How many Musians (daughters of Zeus) count Greek mythology?
	Hoeveel botten bevat één menselijke hand inclusief de pols?	How many bones does one human hand contain including the wrist?
	Hoeveel aardse dagen duurt één volledige draai van Venus ongeveer?	How many earthly days does one full turn of Venus last about?
	Hoeveel leden telt de Duitse Bondsdag volgens de wettelijke omvang sinds de hervorming?	How many members of the German Bundestag have the legal size since the reform?
	Hoeveel kilometer per seconde draait de aarde om de zon?	How many kilometres per second does the Earth orbit the Sun?
	Hoeveel spieren heeft het menselijk lichaam ongeveer?	How many muscles does the human body have?
GEEN	Hoeveel kilometer lang is het metronet van Mexico-Stad?	
GEEN	Hoeveel uur duurde het langste videogame-marathonrecord (stand 2026)?	
	Hoeveel schepen had de Atheense vloot tijdens de Slag bij Salamis ongeveer?	How many ships had the Athenian fleet during the Battle of Salamis about?
	Hoeveel verdiepingen heeft de Shanghai Tower?	How many floors does the Shanghai Tower have?
	Hoeveel noten bevat een standaard majeurtoonladder inclusief het herhaalde octaaf?	How many notes does a standard major tone ladder include the repeated octave?
	Hoeveel deelstaten telt Duitsland?	How many federal states does Germany have?
	Hoeveel punten heeft een try in rugby union?	How many points does a try in rugby union have?
	Hoeveel landen telt Afrika?	How many countries does Africa have?
	Hoeveel electorale stemmen zijn er nodig om de VS-presidentsverkiezing te winnen?	How many electoral votes does it take to win the U.S. presidential election?
	Hoeveel protonen heeft een neutraal atoom van uranium?	How many protons has a neutral atom of uranium?
	Hoeveel tanden heeft een volwassen hond?	How many teeth does a grown dog have?
	Hoeveel kilometer lang is de Kanaaltunnel?	How many kilometres is the Channel Tunnel?
	Hoeveel snaren heeft een standaard concert-pedaalharp?	How many strings has a standard concert pedal harp?
	Welk percentage van het zoete water zit vast in ijs en gletsjers?	What percentage of the fresh water is stuck in ice and glaciers?
	Hoeveel jaar duurde de Honderdjarige Oorlog daadwerkelijk?	How many years did the Hundred Years War actually last?
	Hoeveel standaard 20-voet zeecontainers (TEU) kan het grootste containerschip ter wereld in één keer vervoeren?	How many standard 20-foot sea containers (TEU) can transport the largest container ship in the world at once?
	Hoeveel kilometer lang is de Nederlandse kustlijn ongeveer?	How many kilometres long is the Dutch coastline about?
	Hoeveel chromosomen heeft een gewone ui Allium cepa in een lichaamscel?	How many chromosomes does an ordinary onion have Allium cepa in a body cell?
	Hoeveel delen bevatte de oorspronkelijke publicatie van The Lord of the Rings?	How many parts contained the original publication of The Lord of the Rings?
	Hoeveel KFC-restaurants zijn er wereldwijd ongeveer?	How many KFC restaurants are there around the world?
	Hoeveel kilometer moet een bijenvolk gezamenlijk vliegen om één kilo honing te produceren?	How many kilometers does a bee race have to fly together to produce one kilo of honey?
	Hoeveel pixels breed is een standaard 4K Ultra HD videoscherm?	How many pixels wide is a standard 4K Ultra HD video screen?
	In welk jaar werd penicilline ontdekt?	What year was penicillin discovered?
	In welk jaar zonk de Titanic?	What year did the Titanic sink?
GEEN	Hoeveel vogelsoorten telt Australië?	
	Hoeveel kamers heeft Buckingham Palace?	How many rooms does Buckingham Palace have?
	In welk jaar werd de eerste moderne krant gepubliceerd?	In what year was the first modern newspaper published?
	Hoeveel tanden wisselt een haai gedurende zijn leven ongeveer?	How many teeth does a shark change in his life?
	Hoeveel kilometer lang was de Romeinse rijksgrens, de Roman Limes, volgens UNESCO ongeveer?	How many kilometres long was the Roman Empire border, the Roman Limes, according to UNESCO about?
	Hoeveel minaretten heeft de Taj Mahal?	How many minarets does the Taj Mahal have?
	Hoeveel meter hoog is de Golden Gate Bridge boven het water?	How many metres high is the Golden Gate Bridge above the water?
	Hoeveel poten heeft een spin?	How many legs does a spider have?
	In welk jaar werd Argentinië onafhankelijk van Spanje?	In what year did Argentina become independent of Spain?
	Hoeveel centimeter meten de dunne en dikke darm samen, volledig uitgestrekt?	How many centimeters do the small and large intestine measure together, fully extended?
	Hoeveel kilometer per uur rijdt een hogesnelheidstrein zoals de TGV maximaal in reguliere dienst?	How many kilometres per hour does a high-speed train such as TGV run in regular service?
	Hoeveel meter ligt de Dode Zee ongeveer onder zeeniveau?	How many metres is the Dead Sea about below sea level?
	Hoeveel meter lang is de langste overspanning van de Akashi Kaikyōbrug?	How many meters long is the longest span of the Akashi Kaikyō Bridge?
	Hoeveel albums bracht AC/DC uit tot 2024 (studioalbums)?	How many albums did AC/DC release until 2024 (studio albums)?
	In welk jaar werd de eerste Android-telefoon uitgebracht?	In what year was the first Android phone released?
GEEN	Hoeveel kilogram weegt een volwassen Aziatische olifant?	
	Hoe zwaar was de grootste portie friet ooit in kilogram?	How heavy was the largest portion of fries ever in kilograms?
	Hoeveel leeuwen staan er rond de Nelson’s Column in Londen?	How many lions are there around the Nelsons Column in London?
	Hoeveel gram koolhydraten bevat een Amerikaanse McDonald’s Big Mac?	How many grams of carbohydrates does an American McDonald... Big Mac contain?
GEEN	Hoeveel kilometer per uur zwemt een dolfijn op zijn snelst?	
GEEN	Hoeveel miljoen inwoners heeft India?	
	Hoeveel delen CO₂ per miljoen delen lucht zat er rond het pre-industriële referentiejaar in de atmosfeer?	How many parts of CO2 per million parts of air were in the atmosphere around the pre-industrial reference year?
	Hoeveel tekeningen van Rembrandt bezit het Rijksmuseum volgens de huidige collectie-informatie?	How many drawings by Rembrandt do the Rijksmuseum have according to the current collection information?
	Hoeveel mogelijke worpen zijn er met drie gewone dobbelstenen?	How many possible throws are there with three ordinary dice?
	Hoeveel volt heeft een standaard stopcontact in Nederland?	How much volt does a standard plug socket in the Netherlands?
	Hoe lang was de langste vrouw ooit in centimeters?	How long was the longest woman ever in centimeters?
	In welk jaar viel het West-Romeinse Rijk traditioneel?	In what year did the West Roman Empire traditionally fall?
GEEN	Hoeveel kilogram weegt een volwassen mannelijke Bengaalse tijger?	
	Hoeveel Oscars won de film Titanic (1997)?	How many Oscars won the film Titanic (1997)?
	Hoeveel watt laadt een standaard iPhone snellader?	How much watts does a standard iPhone charger charge?
	Hoeveel hartkleppen heeft het menselijk hart?	How many valves does the human heart have?
	Hoeveel leden heeft de Nederlandse Eerste Kamer?	How many members have the Dutch First Chamber?
	Hoeveel kilocalorieën bevat een Amerikaanse McDonald’s cheeseburger?	How many kilocalories does an American McDonald's cheeseburger contain?
	Hoeveel procent van de wetlands is sinds 1700 wereldwijd verdwenen?	How many percent of wetlands have disappeared worldwide since 1700?
	Hoeveel toetsen heeft een standaard MIDI-pianotoetsenbord met vijf octaven?	How many keys does a standard MIDI piano keyboard with five octaves?
	Hoeveel boeken bevat Homerus’ Odyssee?	How many books does Homer's Odyssey contain?
	Hoeveel torens heeft het Kremlin in Moskou?	How many towers does the Kremlin have in Moscow?
	Hoeveel letters heeft het Armeense alfabet?	How many letters does the Armenian alphabet have?
	Hoe hoog was de hoogste duik vanaf een klif in meters?	How high was the highest dive from a cliff in meters?
	Hoeveel ton bananen worden wereldwijd jaarlijks geproduceerd?	How many tonnes of bananas are produced worldwide?
	Hoeveel traptreden telt de Eiffeltoren naar de top?	How many steps does the Eiffel Tower have to the top?
	In welk jaar werd de eerste PlayStation uitgebracht?	In what year was the first PlayStation released?
GEEN	Hoeveel LEGO-steentjes werden gebruikt voor het grootste LEGO-model?	
	Hoeveel kilometer lang is het Suezkanaal?	How many kilometres is the Suez Canal?
	Hoeveel kiesmannen telt het Amerikaanse Electoral College?	How many electors does the U.S. electoral college have?
	Hoeveel meter lang is het Millauviaduct in Frankrijk?	How many meters long is the Millauviaduct in France?
	Hoeveel keer klopt een menselijk hart gemiddeld op één dag (bij rust)?	How many times does a human heart beat on average in one day (at rest)?
	Hoeveel republieken vormden de Sovjet-Unie bij haar ontbinding in 1991?	How many republics did the Soviet Union form when it was dissolved in 1991?
GEEN	Hoeveel meter hoog is De Zalmhaven in Rotterdam?	
GEEN	Wat is de baansnelheid van het ISS ongeveer?	
	Hoeveel delen telt de Harry Potter filmreeks van Warner Bros?	How many parts does the Harry Potter film series by Warner Bros have?
	Hoeveel munten telt een volledige set eurocent- en euromunten?	How many coins does a full set of euro cents and euro coins have?
	Hoe lang is de Afsluitdijk in kilometers?	How long is the Afsluitdijk in kilometres?
	Hoeveel landen zijn lid van de NAVO?	How many countries are members of NATO?
	Hoeveel Grammys won Beyoncé in totaal tot 2023?	How many Grammys won Beyoncé until 2023?
	In welk jaar werd de eerste iPhone uitgebracht?	In what year was the first iPhone released?
	Hoeveel ton suiker wordt wereldwijd jaarlijks geproduceerd?	How many tons of sugar is produced worldwide?
	Hoeveel bedrijven vormen de Nasdaq-100-index?	How many companies form the Nasdaq-100 index?
	Hoeveel naamvallen heeft het Fins?	How many names does it have in Finnish?
	Hoeveel centimeter zet de Eiffeltoren uit op een hete zomerdag?	How many centimeters does the Eiffel Tower turn off on a hot summer day?
	In welk jaar werd Paraguay onafhankelijk van Spanje?	In what year did Paraguay become independent of Spain?
	Hoeveel perioden heeft het moderne periodiek systeem?	How many periods does the modern periodic table have?
	Hoeveel metrolijnen heeft de Parijse metro?	How many subway lines does the Paris subway have?
GEEN	Hoeveel mensen bezochten de Wereldtentoonstelling van 1893 in Chicago?	
GEEN	Hoeveel miljoen inwoners heeft China?	
	Hoeveel landen grenzen aan de Rode Zee?	How many countries border on the Red Sea?
GEEN	Hoeveel kilometer per uur sprint een leeuw?	
	Uit hoeveel leden bestaat de VN-Veiligheidsraad in totaal?	How many members is the UN Security Council in total?
	Hoeveel vierkante kilometer is de oppervlakte van IJsland ongeveer?	How many square kilometres is the area of Iceland about?
GEEN	Hoeveel Amerikaanse militairen kwamen tijdens de Tweede Wereldoorlog om het leven?	
	Hoeveel ton maïs werd wereldwijd geproduceerd in 2023?	How many tons of corn was produced worldwide in 2023?
	Hoeveel verschillende euromunten zijn er?	How many different euro coins are there?
	Hoeveel wegen krijgt iedere speler bij de start van Catan?	How many roads does each player get at the start of Catan?
	Welke pH-waarde heeft zuiver water bij kamertemperatuur ongeveer?	What pH value does pure water have at room temperature about?
	Hoeveel spelers telt een waterpoloteam in het water?	How many players does a water polo team in the water have?
	Hoeveel keer is de Elfstedentocht in de 20e eeuw geschaatst?	How many times has the Elfstedentocht been skated in the 20th century?
	In welk jaar werd Amazon opgericht?	What year was Amazon founded?
	Hoeveel push-ups werden er in 24 uur uitgevoerd bij het huidige record?	How many push-ups were performed in 24 hours at the current record?
	Hoeveel cent zit er in één euro?	How much is in one euro?
GEEN	Hoeveel meter hoog is Mount Cook (Aoraki)?	
	In welk jaar werd Chili onafhankelijk van Spanje?	In what year did Chile become independent of Spain?
	Hoeveel vierkante kilometer is de oppervlakte van Japan ongeveer?	How many square kilometres is the area of Japan about?
	Hoeveel hoofdkabels dragen de Golden Gate Bridge?	How many main cables are wearing the Golden Gate Bridge?
	Hoeveel cilinders had de Honda RA168E Formule 1-motor uit 1988?	How many cylinders had the Honda RA168E Formula 1 engine from 1988?
GEEN	Hoeveel Afrikaanse landen grenzen aan de Atlantische Oceaan?	
	In welk jaar werd de eerste commerciële mobiele telefoon uitgebracht?	What year was the first commercial mobile phone released?
	Hoe zwaar was de zwaarste pompoen ooit in kilogram?	How heavy was the toughest pumpkin ever in kilograms?
	Hoeveel windmolens staan er op de werelderfgoedlocatie Kinderdijk?	How many windmills are in the world heritage site Kinderdijk?
GEEN	Hoeveel meter hoog is de Shanghai Tower?	
GEEN	Hoeveel pianosonates schreef Beethoven?	
	Hoeveel staten heeft Australië?	How many states does Australia have?
GEEN	In welk jaar werd Venezuela onafhankelijk van Spanje?	
	Hoeveel landen vormen Centraal-Amerika?	How many countries are Central America?
GEEN	Hoeveel kilometer lang is de Ganges?	
	Hoeveel start- en landingsbanen heeft Heathrow?	How many runways does Heathrow have?
	Hoeveel vierkante kilometer is de Noordzee ongeveer groot?	How many square kilometres is the North Sea about large?
	Hoeveel Champions League-titels won Real Madrid tot 2024?	How many Champions League titles did Real Madrid win until 2024?
	Hoe hoog was de hoogste robot ooit gebouwd in meters?	How high was the highest robot ever built in meters?
	Hoeveel wagons heeft een Eurostar-trein meestal in een volledige standaardtrein?	How many wagons does a Eurostar train usually have on a full standard train?
	Hoeveel kilometer lang is de kust van de Nederlandse Waddeneilanden ongeveer?	How many kilometres long is the coast of the Dutch Wadden Islands about?
	Hoeveel poten heeft een standaard statief?	How many legs has a standard tripod?
	In welk jaar werd de eerste e-mail verstuurd?	What year was the first e-mail sent?
	Hoeveel spelers heeft een rugbyteam per ploeg op het veld (union)?	How many players have a rugby team per team on the field (union)?
	Hoeveel millimeter per jaar groeit de Mount Everest gemiddeld?	How many millimeters a year does Mount Everest grow on average?
	Hoeveel poten heeft een kreeft?	How many legs does a lobster have?
	Hoeveel officiële talen erkent de Verenigde Naties (VN)?	How many official languages does the United Nations (UN) recognise?
	Hoeveel Disneyland-resorts bestaan er wereldwijd?	How many Disneyland resorts exist worldwide?
GEEN	Hoeveel provincies telt China?	
	Hoeveel zijden heeft een hexagoon?	How many sides does a hexagon have?
	Hoeveel hoofdringen heeft Saturnus volgens de NASA-indeling?	How many head rings does Saturn have according to NASA format?
	Hoeveel basis-ingrediënten heeft een klassieke pizza Margherita?	How many basic ingredients does a classic pizza have Margherita?
	Hoeveel cijfers heeft een standaard ISBN-13?	How many numbers does a standard ISBN-13 have?
	Welk percentage van plastic afval wordt wereldwijd gestort?	What percentage of plastic waste is landfilled worldwide?
	Hoeveel punten levert een safety op bij American football?	How many points does a safety pay for American football?
	Hoeveel landen grenzen direct aan de Zwarte Zee?	How many countries border directly on the Black Sea?
