nr	modus	vraag	bestandsnaam	wikipedia-artikel
1388	puzzel	Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?	Kobe Bryant 2014.jpg	Kobe Bryant
1395	puzzel	Hoeveel punten is een maximale dartscore met drie pijlen?	E38 p36.jpg	Pijl (wapen)
1401	puzzel	Hoeveel speelminuten duurt een officiële voetbalwedstrijd zonder verlenging?	GAE - NEC - 53492583527 (Calvin Verdonk).jpg	Calvin Verdonk
1423	puzzel	Hoeveel bekende manen heeft Jupiter (stand 2026)?	Jupiter.jpg	Jupiter (planeet)
1433	puzzel	Hoeveel minuten duurt een volledige baan van het ISS rond de aarde ongeveer?	The station pictured from the SpaceX Crew Dragon 5 (cropped).jpg	ISS (ruimtestation)
1435	puzzel	Hoeveel satellieten lanceerde India in één enkele raket als record (2017)?	Flag of India.svg	India
1436	puzzel	In welk jaar landde de eerste ruimtesonde op Mars?	Mars - August 30 2021 - Flickr - Kevin M. Gill.png	Mars
1439	puzzel	Wat is de baansnelheid van het ISS ongeveer?	The station pictured from the SpaceX Crew Dragon 5 (cropped).jpg	ISS (ruimtestation)
1458	puzzel	Hoeveel megabytes zitten er volgens de binaire definitie in één gigabyte?	Laptop-hard-drive-exposed.jpg	Gigabyte
1460	puzzel	In welk jaar bracht Apple de eerste iPhone uit?	Apple logo black.svg	Apple Inc.
1461	puzzel	In welk jaar lanceerde Japan de Shinkansen hogesnelheidstrein?	E8系(大宮駅).jpg	Shinkansen
1462	puzzel	In welk jaar werd Amazon opgericht?	Amazon Tower I topped out, June 2015.jpg	Amazon.com
1463	puzzel	In welk jaar werd Apple opgericht?	Apple logo black.svg	Apple Inc.
1464	puzzel	In welk jaar werd Facebook opgericht?	Facebook f logo (2019).svg	Facebook
1465	puzzel	In welk jaar werd Google opgericht?	Googleplex HQ (cropped).jpg	Google LLC
1467	puzzel	In welk jaar werd Microsoft opgericht?	Aerial Microsoft West Campus August 2009.jpg	Microsoft
1470	puzzel	In welk jaar werd Sony opgericht?	Sonyheadquarters.jpg	Sony
1471	puzzel	In welk jaar werd Toyota opgericht als automerk?	Toyota EU.svg	Toyota
1480	puzzel	In welk jaar werd het World Wide Web publiek vrijgegeven?	W3C® Icon.svg	World Wide Web Consortium
1481	puzzel	Hoeveel duizend beeldpunten telt een Full HD-scherm?	Kazan Arena 2017.png	Ak Bars Arena
1488	puzzel	Hoeveel miljoen nieuwe personenauto’s worden er wereldwijd per jaar geproduceerd?	Flag of New Zealand.svg	Nieuw-Zeeland
1489	puzzel	Hoeveel passagiers kan een Airbus A380 maximaal vervoeren?	A6-EDY A380 Emirates 31 jan 2013 jfk (8442269364) (cropped).jpg	Airbus A380
1490	puzzel	Hoeveel passagiers kan een Boeing 777-300ER maximaal vervoeren?	Boeing 787 Roll-out.jpg	Boeing
1492	puzzel	Hoeveel standaard 20-voet zeecontainers (TEU) kan het grootste containerschip ter wereld in één keer vervoeren?	Container.JPG	TEU
1493	puzzel	Hoeveel stations heeft de Londense Underground?	Underground.svg	Metro van Londen
1494	puzzel	Hoeveel verkeerslichten zijn er ongeveer in New York City?	View of Empire State Building from Rockefeller Center New York City dllu (cropped).jpg	New York (stad)
1505	puzzel	Hoeveel diagonalen heeft een regelmatige twaalfhoek?	Regular dodecagon.svg	Twaalfhoek
17	race	Hoeveel hoofdgoden telt de Griekse mythologie op de berg Olympus (de Twaalf Olympiërs)?	Faris haroun-1583660253 (cropped).jpg	Faris Haroun
56	race	Hoeveel halve tonen bevat een octaaf?	Octaaf0320w.JPG	Octaaf (muziek)
64	race	Hoeveel kiesmannen telt het Amerikaanse Electoral College?	Electoral map 2020.svg	Kiescollege (Verenigde Staten)
70	race	Hoe zwaar was de zwaarste hamburger ooit in kilogram?	NYC-Diner-Bacon-Cheeseburger.jpg	Hamburger
102	race	Hoeveel diagonalen heeft een regelmatige tienhoek?	Regular decagon.svg	Tienhoek
154	race	Hoeveel kamers heeft het hart van een krokodil?	Paarse krokodil.jpg	Paarse krokodil
173	race	Hoeveel landen hadden de euro als officiële munt bij de introductie van contant eurogeld?	Euro coins (07).jpg	Euro
176	race	Hoeveel leden heeft de G7?	2026 G7 meeting in France.jpg	G7
196	race	Hoeveel afleveringen telt de originele Britse serie The Office (inclusief specials)?	Brothers in arms - panoramio.jpg	Anglo-Belgian Memorial, Brussels
217	race	Hoeveel badkamers heeft het Witte Huis?	US-WhiteHouse-Logo.svg	Witte Huis (Washington)
281	race	Hoeveel landen liggen aan de Adriatische Zee?	Locatie Adriatische zee.PNG	Adriatische Zee
283	race	Hoeveel landen liggen aan het Titicacameer?	Lake Titicaca map.png	Titicacameer
285	race	Hoeveel landen telt Zuid-Amerika?	South America (orthographic projection).svg	Zuid-Amerika
295	race	Hoeveel staten heeft Australië?	Flag of Australia (converted).svg	Australië (land)
300	race	Hoeveel vierkante kilometer is de oppervlakte van IJsland ongeveer?	Flag of Iceland.svg	IJsland
361	race	Hoeveel procent van de wereldbevolking werkt direct of indirect in de landbouw?	Unload wheat by the combine Claas Lexion 584.jpg	Landbouw
363	race	Hoeveel ton koper wordt wereldwijd jaarlijks geproduceerd?	Koper, mesto.jpg	Koper
418	race	Hoeveel provincies heeft Nederland?	EU-Netherlands.svg	Nederland
432	race	Hoeveel oorspronkelijke leden had de NAVO bij de oprichting in 1949?	Flag of NATO.svg	Noord-Atlantische Verdragsorganisatie
436	race	Hoe hoog was de hoogste zandsculptuur ooit in meters?	Sandsculptures in Noordwijk (Netherlands 2016) (29048006812).jpg	Zandsculptuur
452	race	Hoeveel marathons liep de persoon met het record voor de meeste marathons?	Start of Barkley 2009.jpg	Barkley Marathons
603	race	Hoeveel botten zitten er in één menselijke voet en enkel?	Ankle.jpg	Enkel
608	race	Hoeveel paar hersenzenuwen heeft een mens?	Human.svg	Mens
668	race	Hoeveel poten hebben volwassen kreeftachtigen van de orde Decapoda volgens de naam?	Haeckel Decapoda.jpg	Tienpotigen
670	race	Hoeveel poten heeft een kreeft?	Cancer constellation map.png	Kreeft (sterrenbeeld)
677	race	Hoeveel lemuursoorten telt Madagaskar ongeveer?	Seal of Madagascar.svg	Madagaskar
718	race	Hoeveel liter olijfolie gebruikt een Griek per jaar?	Flag of Greece.svg	Griekenland
722	race	Hoeveel procent van de wereldkoffie komt uit Brazilië?	Coat of arms of Brazil.svg	Brazilië
727	race	In hoeveel landen had McDonald’s restaurants in 2023?	McDonald's Golden Arches.svg	McDonald's
818	race	Hoeveel ton weegt de Eiffeltoren in totaal?	Tour Eiffel Wikimedia Commons.jpg	Eiffeltoren
820	race	Hoeveel traptreden telt de Eiffeltoren naar de top?	Tour Eiffel Wikimedia Commons.jpg	Eiffeltoren
833	race	Door hoeveel landen stroomt de Donau?	Donau Einzugsgebiet.png	Donau
852	race	Hoeveel kilometer lang is de Andes ongeveer?	Andes.png	Andes
935	race	Hoeveel meter hoog is Mount Kosciuszko, het hoogste punt van Australië?	Mount Kosciuszko.jpg	Mount Kosciuszko
945	race	Hoeveel miljoen inwoners heeft Argentinië?	LocationArgentina2.svg	Argentinië
948	race	Hoeveel miljoen inwoners heeft Chili?	LocationChile.svg	Chili
960	race	Hoeveel procent van het Amazonebekken ligt ongeveer in Brazilië?	Coat of arms of Brazil.svg	Brazilië
966	race	Hoeveel sterren staan er op de Amerikaanse vlag?	Flag of the United States.svg	Verenigde Staten
978	race	Hoeveel vierkante kilometer is de oppervlakte van het Baikalmeer ongeveer?	Baikal.A2001296.0420.250m-NASA.jpg	Baikalmeer
986	race	Hoeveel Amerikaanse militairen kwamen tijdens de Tweede Wereldoorlog om het leven?	WW2Montage.PNG	Tweede Wereldoorlog
990	race	Hoeveel amendementen bevat de Amerikaanse Grondwet (Bill of Rights meegerekend in de eerste tien)?	Greater coat of arms of the United States.svg	Grondwet van de Verenigde Staten
992	race	Hoeveel dagen duurde de Slag bij Verdun?	Verdun 4juni2006 033.jpg	Verdun (Meuse)
1001	race	Hoeveel jaar duurde de apartheid in Zuid-Afrika (1948-1994)?	South Africa (centered orthographic projection).svg	Zuid-Afrika
1003	race	Hoeveel jaar regeerde Cleopatra VII?	Cleopatra VII, dalla via appia tra ariccia e genzano, 40-30 ac ca. 01.JPG	Cleopatra VII
1021	race	Hoeveel staten telt de Verenigde Staten?	Flag of the United States.svg	Verenigde Staten
1026	race	In welk jaar begon de Franse Revolutie met de bestorming van de Bastille?	Vallain-liberty.jpg	Franse Revolutie
1041	race	In welk jaar werd Chili onafhankelijk van Spanje?	Flag of Spain.svg	Spanje
1050	race	In welk jaar werd Paraguay onafhankelijk van Spanje?	Flag of Spain.svg	Spanje
1052	race	In welk jaar werd Venezuela onafhankelijk van Spanje?	Flag of Spain.svg	Spanje
1054	race	In welk jaar werd de Amerikaanse Onafhankelijkheidsverklaring ondertekend?	United States Declaration of Independence.jpg	Amerikaanse Onafhankelijkheidsverklaring
1073	race	Hoeveel bijen leven er in een sterk bijenvolk in de zomer?	Vallø Road.jpg	Zomer
1088	race	Hoeveel winkels heeft Aldi wereldwijd ongeveer?	AldiNord-WorldwideLogo.svg	Aldi
1122	race	Hoeveel snaren heeft een Chinese guzheng?	The Great Wall pic 1.jpg	China
1136	race	Hoeveel graden Celsius kookt water op zeeniveau?	Melting ice thermometer.jpg	Celsius
1145	race	Hoeveel doelpunten maakte Robin van Persie voor het Nederlands elftal?	Flag of the Netherlands.svg	Netherlands
1165	race	Hoeveel etsen worden aan Rembrandt toegeschreven in de catalogus van het Rijksmuseum?	Amsterdam - Rijksmuseum.jpg	Rijksmuseum Amsterdam
1189	race	Hoeveel meter lang is het hoofdspansegment van de Van Brienenoordbrug?	Van Brienenoordbrug (2025)-2.jpg	Van Brienenoordbrug
1193	race	Hoeveel kilometer lang is de kust van de Nederlandse Waddeneilanden ongeveer?	Waddeneilanden.PNG	Waddeneilanden
1195	race	Hoeveel klokken hangen er in het carillon van de Utrechtse Domtoren?	DomTorenUtrechtNederland.jpg	Dom van Utrecht
1197	race	Hoeveel vierkante kilometer groot is de provincie Utrecht?	Utrecht (16295236803).jpg	Utrecht (stad)
1217	race	Hoeveel meter lang is het cruiseschip Rotterdam?	A view of Rotterdam, taken from the roof of the Maassilo, Rotterdam, The Netherlands.jpg	Rotterdam
1222	race	Hoeveel ml bevat een standaard Nederlandse borrelglas jenever?	EU-Netherlands.svg	Nederland
1247	race	Hoeveel windmolens staan er bij Kinderdijk?	KinderdijkMolens02.jpg	Kinderdijk
1249	race	Hoeveel miljoen inwoners heeft China?	The Great Wall pic 1.jpg	China
1410	race	Hoeveel spelers staan er tegelijk op het veld bij voetbal?	Football in Bloomington, Indiana, 1995.jpg	Voetbal
1438	race	In welk jaar zette de eerste mens voet op de maan?	FullMoon2010.jpg	Maan
1442	race	Wat is de diameter van de Maan in kilometers?	FullMoon2010.jpg	Maan
71	breinkraker	Hoe zwaar was de zwaarste pompoen ooit in kilogram?	ER Wilson, Hillsborough, County Down, October 2010 (02).JPG	Pompoen
89	breinkraker	Hoeveel naamvallen heeft het Fins?	Kuulosuojaimet - älä varasta.jpg	Fins
177	breinkraker	Hoeveel lidstaten telt de Europese Unie?	Flag of Europe.svg	Europese Unie
215	breinkraker	Hoeveel werelden verbindt de wereldboom Yggdrasil in de Noorse mythologie?	Flag of Norway.svg	Noorwegen
230	breinkraker	Hoeveel meter hoog is One World Trade Center?	World Trade Center, New York City - aerial view (March 2001).jpg	World Trade Center (1973-2001)
235	breinkraker	Hoeveel meter lang is de Akashi Kaikyōbrug in Japan?	Akashi Bridge.JPG	Akashi-Kaikyo-brug
246	breinkraker	Hoeveel traptreden beklim je naar de 86e verdieping van het Empire State Building?	Empire State Building from Rockefeller Center (51197886181) (cropped).jpg	Empire State Building
326	breinkraker	Hoeveel republieken vormden de Sovjet-Unie bij haar ontbinding in 1991?	Flag of the Soviet Union.svg	Sovjet-Unie
383	breinkraker	Hoeveel meter lang was de langste trouwjurkstaart volgens Guinness World Records?	Ironing guinness 0357.JPG	Guinness Book of Records
414	breinkraker	Hoeveel lijnen heeft de metro van Rotterdam?	A view of Rotterdam, taken from the roof of the Maassilo, Rotterdam, The Netherlands.jpg	Rotterdam
460	breinkraker	Hoeveel atomen bevat één molecuul water?	H2O 2D labelled.svg	Water
472	breinkraker	Hoeveel procent azijnzuur bevat gewone huishoudazijn ongeveer?	Essigsäure - Acetic acid.svg	Azijnzuur
486	breinkraker	Hoeveel steden krijgt iedere speler bij de start van Catan?	Nepomuk 280 - Osadníci z Katanu.jpg	Catan
494	breinkraker	Hoeveel wegen krijgt iedere speler bij de start van Catan?	Nepomuk 280 - Osadníci z Katanu.jpg	Catan
544	breinkraker	Hoeveel letters telt het officiële Hawaiiaanse alfabet?	Image Credit- Wirasathya Darmaja. Hanya Yanagihara- A Little Life. Neka Museum. - 30675717626 (cropped).jpg	Hanya Yanagihara
582	breinkraker	Hoeveel vleugels heeft een passagiersvliegtuig?	Boeing 767s of KLM at Amsterdam Airport Schiphol.jpg	Passagiersvliegtuig
703	breinkraker	Hoeveel McDonald’s-restaurants waren er wereldwijd aan het einde van 2023?	McDonald's Golden Arches.svg	McDonald's
713	breinkraker	Hoeveel kruiden bevat de klassieke Chinese Five-Spice?	Five spice powder.jpg	Vijfkruidenpoeder
739	breinkraker	Hoeveel Star Wars films uit de Skywalker Saga verschenen er?	Anakin Skywalker costume Retouched.jpg	Anakin Skywalker
743	breinkraker	Hoeveel seizoenen heeft Breaking Bad?	Breaking Bad official logo.svg	Breaking Bad
773	breinkraker	Hoeveel ingangen heeft het Colosseum?	Colosseo 2020.jpg	Colosseum
779	breinkraker	Hoeveel kilometer lang is de Grote Muur van China volgens de officiële meting?	Great Wall of China July 2006.JPG	Chinese Muur
802	breinkraker	Hoeveel meter lang is de Golden Gate Bridge?	GoldenGateBridge-001.jpg	Golden Gate Bridge
832	breinkraker	Wat is de totale lengte van alle stukken van de Chinese Muur in kilometers?	Great Wall of China July 2006.JPG	Chinese Muur
845	breinkraker	Hoeveel eilanden vormen Indonesië volgens de officiële telling?	Flag of Indonesia.svg	Indonesië
858	breinkraker	Hoeveel kilometer lang is de Grote Muur van China ongeveer?	Great Wall of China July 2006.JPG	Chinese Muur
867	breinkraker	Hoeveel kilometer lang is de evenaar ongeveer?	Grosskreis.jpg	Evenaar
868	breinkraker	Hoeveel kilometer lang is de kustlijn van Canada ongeveer?	LocationCanada.svg	Canada
874	breinkraker	Hoeveel landen grenzen aan Angola?	Angola (orthographic projection).svg	Angola
875	breinkraker	Hoeveel landen grenzen aan Argentinië?	LocationArgentina2.svg	Argentinië
881	breinkraker	Hoeveel landen grenzen aan Costa Rica?	Flag of Costa Rica.svg	Costa Rica
882	breinkraker	Hoeveel landen grenzen aan Ecuador?	Flag of Ecuador.svg	Ecuador
900	breinkraker	Hoeveel landen grenzen aan Panama?	Flag of Panama.svg	Panama (land)
904	breinkraker	Hoeveel landen grenzen aan Rusland (vasteland excl. overzeese)?	Flag of Russia.svg	Rusland
907	breinkraker	Hoeveel landen grenzen aan Tanzania?	Flag of Tanzania.svg	Tanzania
915	breinkraker	Hoeveel landen grenzen direct aan de Zwarte Zee?	Locatie Zwarte Zee.PNG	Zwarte Zee
916	breinkraker	Hoeveel landen hebben grondgebied in het Amazonebekken?	Amazon river basin.png	Amazonebekken
918	breinkraker	Hoeveel landen hebben grondgebied in de Sahara?	Sahara satellite hires.jpg	Sahara
927	breinkraker	Hoeveel landen worden verbonden door de UNESCO-site van de Struve-geodetische boog?	Struve Geodetic Arc-zoom-fr.svg	Geodetische boog van Struve
931	breinkraker	Hoeveel meter hoog is de K2?	K2-big.jpg	K2
933	breinkraker	Hoeveel meter hoog is Mount Everest?	Mt Everest Aerial.jpg	Mount Everest
934	breinkraker	Hoeveel meter hoog is Mount Kenya?	Mount kenya.JPG	Mount Kenya
951	breinkraker	Hoeveel miljoen inwoners heeft Nieuw-Zeeland?	Flag of New Zealand.svg	Nieuw-Zeeland
968	breinkraker	Hoeveel territoria heeft Australië naast de staten?	Flag of Australia (converted).svg	Australië (land)
970	breinkraker	Hoeveel tijdzones heeft Nieuw-Zeeland?	Flag of New Zealand.svg	Nieuw-Zeeland
981	breinkraker	Wat is de hoogte van de Mont Blanc in de Alpen in meters?	Mont Blanc and Dome du Gouter.jpg	Mont Blanc
983	breinkraker	Wat is de omtrek van de Aarde rond de evenaar in kilometers?	Grosskreis.jpg	Evenaar
984	breinkraker	Hoeveel duizend vierkante kilometer groot is Australië?	Flag of Australia (converted).svg	Australië (land)
999	breinkraker	Hoeveel jaar duurde de Dertigjarige Oorlog?	Sack of Magdeburg 1631.jpg	Dertigjarige Oorlog
1058	breinkraker	In welk year ontdekte Columbus Amerika (de eerste reis)?	Christopher Columbus.PNG	Christoffel Columbus
1109	breinkraker	Hoeveel dansstijlen worden er klassiek onderscheiden in de Cubaanse rumba-familie (drie hoofdstijlen)?	Fidel Castro - MATS Terminal Washington 1959.jpg	Cubaanse Revolutie
1118	breinkraker	Hoeveel snaren heeft een Indiase sitar?	Flag of India.svg	India
1153	breinkraker	Hoeveel biljarten heeft het Binnenhof te Den Haag traditioneel?	Den Haag Skyline 1.jpg	Den Haag
1176	breinkraker	Hoeveel keer is de Elfstedentocht in de 20e eeuw geschaatst?	Bartlehiem v.l.n.r. Hans Bouma , Jan Kooiman , Rein Jonker , Nanne Semplonius, Bestanddeelnr 933-5792.jpg	Elfstedentocht
1221	breinkraker	Hoeveel miljoen toeristen bezoekt Amsterdam jaarlijks ongeveer?	Imagen de los canales concéntricos en Ámsterdam.png	Amsterdam
1227	breinkraker	Hoeveel procent van Nederland ligt onder zeeniveau?	EU-Netherlands.svg	Nederland
1230	breinkraker	Hoeveel procent van de Nederlandse betalingen verloopt contactloos of via pin volgens recente cijfers?	EU-Netherlands.svg	Nederland
1240	breinkraker	Hoeveel terrassen heeft de Euromast in Rotterdam totaal?	A view of Rotterdam, taken from the roof of the Maassilo, Rotterdam, The Netherlands.jpg	Rotterdam
1288	breinkraker	Hoeveel senatoren zitten er in de Amerikaanse Senaat?	Seal of the United States Senate.svg	Senaat (Verenigde Staten)
1326	breinkraker	Hoeveel neutronen heeft koolstof-14?	Coal anthracite.jpg	Koolstof
1343	breinkraker	Hoeveel Champions League-titels won Real Madrid tot 2024?	® S.D. MADRID E.S.B. FACHADA PRINCIPAL - panoramio.jpg	Real Madrid CF
1363	breinkraker	Hoeveel keer won Brazilië de FIFA World Cup voetbal bij de mannen (2024)?	Coat of arms of Brazil.svg	Brazilië
1367	breinkraker	Hoeveel keer won Italië de FIFA World Cup?	Flag of Italy.svg	Italië
1371	breinkraker	Hoeveel keer won Uruguay de FIFA World Cup?	Flag of Uruguay.svg	Uruguay
1380	breinkraker	Hoeveel meter is een marathon exact?	BSK CSOB MARATON046 (33791445325).jpg	Marathon
1385	breinkraker	Hoeveel minuten duurt een ijshockeywedstrijd netto?	20Min logo GE positive rgb.png	20 Minuten
1415	breinkraker	Hoeveel veldspelers (inclusief keeper) staan er in het water bij waterpolo per team?	Belgisch voetbalelftal 1905.jpg	Team
1426	breinkraker	Hoeveel kilometer is de diameter van Jupiter ongeveer?	Jupiter.jpg	Jupiter (planeet)
1440	breinkraker	Wat is de baansnelheid van het ISS ruimtestation in kilometer per uur?	The station pictured from the SpaceX Crew Dragon 5 (cropped).jpg	ISS (ruimtestation)
1449	breinkraker	Hoeveel naamvallen heeft het Duits?	Legal status of German in the world.svg	Duits
1487	breinkraker	Hoeveel kilometer lang is de Trans-Siberische spoorlijn?	Trans siberian railroad large.png	Trans-Siberische spoorlijn
